time,text_tokens,total_consumed_tokens,total_loss,reduced_llm_loss,reduced_balancing_loss,loss,maxvio,efficient_attn_ratio,grad_norm,max_memory_GB,reserved_memory_GB,tgs,e2e_tgs
9.1684,42495.0,3619923.0,0.97823095,0.92554289,0.05268791,0.10681094,2.90522456,0.44173616,0.39952964,75.92,79.55,4635.0,4288.9
9.4109,33600.0,3653523.0,0.94053090,0.88639921,0.05413174,0.08837108,3.58847237,0.50032234,0.43105111,75.92,79.55,3570.3,4280.7
9.5198,48602.0,3702125.0,1.04556847,0.99270922,0.05285916,0.17824176,3.25554609,0.48683798,0.49062696,75.92,79.55,5105.3,4289.5
9.3359,46253.0,3748378.0,1.14894891,1.09771049,0.05123857,0.17714387,2.74638939,0.46124285,0.38816831,75.92,79.55,4954.3,4296.4
9.3643,60425.0,3808803.0,1.11866558,1.06716156,0.05150398,0.10709050,2.88174438,0.43599218,1.54399979,75.92,79.55,6452.7,4319.1
9.6074,63463.0,3872266.0,1.11393142,1.06097746,0.05295395,0.14413252,3.34727550,0.47192329,0.43171710,75.92,79.55,6605.6,4343.5
9.4015,33600.0,3905866.0,1.06938410,1.01663768,0.05274647,0.10591972,3.24071312,0.50032234,0.41222560,75.92,79.55,3573.9,4335.2
9.2264,43914.0,3949780.0,1.00006938,0.94819725,0.05187211,0.10391450,2.90847969,0.44601798,0.41274628,75.92,79.55,4759.6,4339.2
9.4112,33600.0,3983380.0,1.07873726,1.02657592,0.05216134,0.10903437,2.90934825,0.50032234,0.41960111,75.92,79.55,3570.2,4331.1
9.4084,33600.0,4016980.0,0.90503371,0.85066307,0.05437070,0.10372582,3.96335220,0.50032234,0.43954012,75.92,79.55,3571.3,4323.2
9.4112,33596.0,4050576.0,1.01335537,0.96065247,0.05270284,0.15822175,3.23809576,0.50031924,0.40528935,75.92,79.55,3569.8,4315.4
9.4102,33600.0,4084176.0,1.01814187,0.96594226,0.05219972,0.13428450,2.99542022,0.50032234,0.38854551,75.92,79.55,3570.6,4307.8
9.1547,56257.0,4140433.0,1.08910978,1.03779805,0.05131155,0.10875652,2.81832218,0.40936196,0.38992786,75.92,79.55,6145.2,4325.1
9.1148,54827.0,4195260.0,1.13128948,1.07941437,0.05187500,0.12475338,2.68855071,0.40529019,0.45765528,75.92,79.55,6015.1,4340.9
9.4091,33601.0,4228861.0,1.21295881,1.16132557,0.05163312,0.15894832,2.91943049,0.50032312,0.44181120,75.92,79.55,3571.1,4333.2
9.3980,33600.0,4262461.0,1.04530239,0.99235439,0.05294801,0.09466347,3.31632400,0.50032234,0.38102520,75.92,79.55,3575.2,4325.8
