time,text_tokens,total_consumed_tokens,total_loss,reduced_llm_loss,reduced_balancing_loss,loss,maxvio,efficient_attn_ratio,grad_norm,max_memory_GB,reserved_memory_GB,tgs,e2e_tgs
7.9697,48281.0,4543033.0,1.25373828,1.20521212,0.04852615,0.13978501,1.08455467,0.48272750,0.39749238,96.27,114.70,6058.0,5376.3
7.4474,51987.0,4595020.0,1.15252709,1.10374212,0.04878491,0.14483878,0.57898355,0.38565683,0.40727046,96.27,114.70,6980.5,5390.0
7.5762,55361.0,4650381.0,1.13078427,1.08194005,0.04884420,0.14407933,0.69041860,0.40055463,0.39246276,96.27,114.70,7307.2,5406.5
7.6597,55768.0,4706149.0,1.18370008,1.13554239,0.04815765,0.11603985,0.49274129,0.41208351,0.40910661,96.27,114.70,7280.7,5422.8
7.8424,46834.0,4752983.0,1.12146807,1.07208049,0.04938766,0.13851102,0.68608844,0.46664679,0.39742690,96.27,114.70,5971.9,5427.4
7.8866,33599.0,4786582.0,1.09852362,1.04953158,0.04899200,0.09760348,0.76844186,0.50032157,0.37764922,96.27,114.70,4260.3,5416.6
7.8909,33600.0,4820182.0,1.23454821,1.18634224,0.04820599,0.14675996,0.91589928,0.50032234,0.36855751,96.27,114.70,4258.1,5406.1
7.9403,49468.0,4869650.0,1.06403148,1.01560986,0.04842159,0.15384106,0.54734707,0.47454768,0.38298571,96.27,114.70,6230.0,5413.0
8.0212,49103.0,4918753.0,1.11794114,1.06978858,0.04815263,0.15372033,0.56269336,0.49360976,0.35796595,96.27,114.70,6121.6,5419.0
7.8858,33600.0,4952353.0,1.12318778,1.07441437,0.04877330,0.11855717,0.67829406,0.50032234,0.34931645,96.27,114.70,4260.8,5408.7
7.8811,33554.0,4985907.0,1.14532351,1.09675777,0.04856583,0.14816882,0.79234236,0.50028867,0.40641367,96.27,114.70,4257.5,5398.6
7.5893,58324.0,5044231.0,1.23117864,1.18334138,0.04783723,0.21064299,0.77200288,0.39884663,0.34854704,96.27,114.70,7685.1,5416.9
7.9563,52113.0,5096344.0,1.17674136,1.12869298,0.04804841,0.13535640,0.88379616,0.46676975,0.37581480,96.27,114.70,6549.9,5426.2
7.6421,40168.0,5136512.0,1.11385703,1.06530535,0.04855174,0.15199381,0.77958536,0.44282934,0.34801248,96.27,114.70,5256.1,5424.6
7.7086,37195.0,5173707.0,1.18455613,1.13639653,0.04815965,0.16387320,0.60857642,0.45887166,0.40776050,96.27,114.70,4825.1,5419.4
7.9202,61502.0,5235209.0,1.18545640,1.13698292,0.04847350,0.13144715,0.70625687,0.44836581,0.33464193,96.27,114.70,7765.2,5438.4
7.8786,33599.0,5268808.0,1.01013708,0.95965159,0.05048547,0.12284037,0.82001489,0.50032157,0.35331133,96.27,114.70,4264.6,5428.6
7.6843,42960.0,5311768.0,1.06513965,1.01590550,0.04923420,0.10875140,0.89492786,0.44272617,0.34416136,96.27,114.70,5590.6,5429.6
7.8841,33600.0,5345368.0,1.14595354,1.09739542,0.04855808,0.10276001,0.54307830,0.50032234,0.43357021,96.27,114.70,4261.7,5420.0
7.8874,33600.0,5378968.0,1.07572234,1.02681160,0.04891076,0.14186566,0.62631387,0.50032234,0.38597536,96.27,114.70,4260.0,5410.5
7.7859,46131.0,5425099.0,1.08286941,1.03401887,0.04885053,0.14337394,0.52678156,0.46021116,0.47447991,96.27,114.70,5924.9,5414.2
7.7449,45205.0,5470304.0,1.08513618,1.03676975,0.04836645,0.14130650,0.55473346,0.45317188,0.34407604,96.27,114.70,5836.7,5417.2
8.0123,48889.0,5519193.0,1.15856516,1.11038125,0.04818388,0.15915364,0.64515656,0.49015459,0.41511878,96.27,114.70,6101.8,5422.3
7.6441,39752.0,5558945.0,1.07304239,1.02470481,0.04833771,0.13287160,0.62585020,0.44409153,0.37269443,96.27,114.70,5200.3,5420.4
8.0182,50595.0,5609540.0,1.17159951,1.12381065,0.04778894,0.12418495,0.47411245,0.47814071,0.41386044,96.27,114.70,6310.0,5427.0
7.8963,33600.0,5643140.0,1.11994255,1.07165301,0.04828951,0.11131123,0.56103331,0.50032234,0.34704119,96.27,114.70,4255.2,5417.9
7.7532,45008.0,5688148.0,1.03742361,0.98855871,0.04886489,0.11123259,0.62803721,0.45187953,0.44251457,96.27,114.70,5805.1,5420.5
7.8146,45837.0,5733985.0,1.06113160,1.01304710,0.04808454,0.13667428,0.54320759,0.45780164,0.31289509,96.27,114.70,5865.6,5423.5
7.8899,33600.0,5767585.0,0.95001274,0.90074730,0.04926545,0.11491098,0.69739211,0.50032234,0.38679740,96.27,114.70,4258.6,5414.6
7.8166,59922.0,5827507.0,1.06183052,1.01361001,0.04822046,0.11261694,0.60076559,0.43420425,0.34664461,96.27,114.70,7666.0,5430.7
